,ANN_TRT,ETA_NUM,ETB_EXE_FIN,REG_ETA,SOC_RAI,STA_ETA,VAL_ETA
40,,291230706,xA,bdUwcOmTHssXsWGfINRRwOnfNAYbSDGxHRpIiPYi,qBoonMsnAdqiQLXzMHjrvyDHdEOAssbGUnnUmpxykeKOSQrMnaVWRvpLhQj,BQf,TB
41,it,136293776,yGSTCNW,UXOQpafRbuEJnrRPUaXiYIerXsw,JqcLmeA,Xuh,Buwiaj
42,liS,548324595,r,dyeEZw,XknesZZDfxpbJnCDnySMesfRQydnFFmdBxRnJXqGfNtgoJhno,,sm
43,lyFH,808030068,t,EAyIiSopqwZfFikOpHbFygdqaWHaoEdYydYuqC,DcNRQavrflynRRmngaHpDeZoggTmqRTOUdmMNKDTnX,i,PATXlPSK
44,gB,314717768,ebjW,GzjspeJooAYQdLWQVnQvphiHXgWi,MXoK,L,
45,KjgS,583932595,,i,yGCPDyiBrWmDaPsaJkHoxVveQdqFwGesCWXMXXhNfxKqousOBtNO,,kjHinJUGg
46,JDgIEPO,687505202,,wX,DqBZjLQNkqKMKiZRoWhGCGvETWvwCB,p,EuLliSDFXNaZem
47,Q,739297554,S,ebaQqyUjORMkUUFEY,YmNhvAmGLMbyWKemgeKztpbaNnyKZAeCJXSQSWsictoVNEVyoG,mu,qVGOFAvI
48,CSf,482234204,,pMsIyowMrZvpHFxKXyS,DzjHzyymiD,cXe,zOvHelWeYGhbTxpLbjco
49,laqwfvj,370368029,pMWClA,YY,gyFm,VGa,zFYKJjoiYStZq
50,uAhDn,580144897,,AjYfHHXQng,zqflOzCvqVPLyWVYRUelZKukjVEwGsAWvbeYkgJDRDKlhvoMpcLIPW,,rIbMrYxvRY
51,mNg,783566655,AFDm,NuvwRp,oCUVVqAzlVRpAnWVrpIERYbOSMHWOesFxciLJjiLVQPlhHGqiIOTKPFo,f,WEKe
52,,779641228,xvYwvmS,oEzWfTkiORLPRppadLdFjGmABrbegwTSDhslZG,weijvBbuiKRyYQscTDuTjrCTHJoZHaAARhLwYQxnqS,,sBhdkvlICEysbcWh
53,cgtheb,842578050,ai,YtYldPadfFaFOzDjkhYgohOoU,bH,IGX,GSOusEtVuBxCxsQBRjqh
54,MlTOkY,546775213,NERI,yQb,,ztQ,ALs
55,DxLnV,971610313,J,,htI,i,TpFwHeszIPH
56,,779769400,YxW,sRwSeYwOwIHZrcutKLbqViRuAevZVrZSJUhwI,PvubLiUNjrJofcVdndOZyVMdqqiLnSGOKFLxPOzqJcQlsOUrdhNRLiRDpkZIVAPuWmRtXjVIBQkItxPB,,mPfjoTHzJztvcssv
57,cC,981281329,pKBl,rbrVbWA,HWmfRKBZFLDHoNzBmShMyKtzsWfrQESpeAECGEzmjLaEmldsOzwnMpZZcPeHnkKrWE,LAo,wgIfVowhBh
58,e,291447785,VittYmRq,kyIbXvcICWSVSiDfIpEDzjSEZrWUiumBEg,rBChlGcXJpXTnVkPbYhOMqlujKZDKsmPcdcuojFrqzPcjoOPTbjLI,c,FapJbSfYqwFylvE
59,gDehbqO,495606538,nGYQvbvW,jZqaJhpahxGXVwWRUbINNa,FYQpZcVCTBqoEXtUfpLP,z,IYl
60,,336297083,tRI,sIVSTsgxeiXQvViPSWBVethGzz,jzBWScZWBBInroIRJziaSqeeTjRtVKGhniMHxtADnjGXVGbJon,,gpPAhnUHsdjDIXGFR
61,gux,799343476,PLk,GJ,ehoefTakIlFmshnJaGyxUHFDRtiZEVJHxm,zc,PLciUfvIVkjp
62,Ha,647244998,OisoMEW,vcnnb,vChJHozUwxuGeTGmpBbNJyoKRlkmKWBzSotAlEBpUuadHVkhLIuBsswQEgcE,n,EyDnOLgXsfx
63,B,174974839,qIyoaC,KkuKDshowGEnjJuOjDeulPtWcLENupQtnnkSvgsV,KrqHYtnXsUJyBdRFRpSMDNgqEoKPbhEEihNvtQykQZwAzdmFVaPnRCWgDNxnSUqqc,jJ,lFCsAjuSXXpbiEKeD
64,,167591733,UOHHZ,ZfjGcthDpFh,SqhyKTMDndszGQPZae,,ulRALFkIZlbBO
65,m,149530796,oBbvV,NricvYPEMkXRjQLTibxV,NOzlocpdIOWPzODluSJmXzgWBvpgJXevsiGKaPrsFTSlurMzjlltdtdQdU,,egCPNq
66,J,352968941,bqNNSmyO,JgYcLLtBAoxktbseQUzSGXJzpBSghm,MtlaloyryrVuvveeownwSNWIFDQWOjfChHEQdsHoxEx,FjN,jBS
67,ZGwSLb,779510549,jRnU,j,WeBzNIEoSmQxVKdjyWsaqrA,,EOjRVSkiQEGBrc
68,,713198774,ubOu,ZR,HPbaMljvElSPnlywRVQJnomDRKKUkmIwNMfFQFlXEOAiehikBbVVFiJGuBq,b,DveUtDFjRrShmtqDWpEi
69,dUaNfbU,411418674,hL,KHXhaRNfSjDuBXCbRUzCQixqgopgHFtwyrVsXUV,ufICHxCzdYYaNxWiCwhmNezRrA,,mxcqqNE
70,,669562427,ILQZrVg,iIlbHzZlekWDcysVO,WGJIHEdjjLBnTLueSbTVuOpbTKHdwNHWMhWWFugNDAcuxetYxyWyknvoD,,vRpPYi
71,CPtch,334675835,,GtjXzOizkiYNreYEPhKHRZG,aeRWofkNYtlyDDiXyKljeshMXNnYJWzJs,o,PCGeOusUAtfwNAG
72,w,458055147,iiSwzW,M,HTpUQrGfocJcCnJIjCrpLMUnrLzbOiAFUkRxgaPJffCoTXaJNEXriDyy,Cgc,ayoMKBX
73,,640727039,YflDPu,ivSARYOEeTFjKiUKpJFj,vLjMQAQvtybqNGnuZZIinpm,,RV
74,IAh,947955048,rOalG,GbqPddBsYZeLtx,BfMsaaaUXNVBBRmmLIhLGmGpJQpDtAfwOFQbeZvmhEvnhOUcNXVjxQHKLrLAekdWzEKDZiAkzqMnhGSh,,hzVXZEIzkJRmhcpm
75,hFsGlgw,360242681,oIIZtHXZ,pJwkJfHpgoThYLjNjvBPKDGUrJUQjKGOJombd,QHokqXUVALzfxAoyRRVzQObctWNgPBZttaSNWePrJKHCaHpToBmyPANPQFsObQmPScGD,Pe,bUxqGYSFdVGFCE
76,AOFq,873535677,,KdzcsKSPDaOJ,SCbl,Rwq,OWFqRtclbXI
77,gYNG,443062993,s,IjEj,HpdcZrsVBahnGAoTQyQOfTTDfCqXedJOJNVZrfSzozbPKwWgQwOMxgvJyFN,p,qSGnDeeGOJVBLK
78,QZXy,665530152,uPv,NfisafwWGOelKxIv,tgGQuIwuHwZSMEMbrhjDlbbUPaQjAfCkUypKdOilYojsJEUIFhTgzne,Az,EF
79,,920936266,NEbnVc,ZORqJvDegqAjyqj,ojISryWdGditKJtbFNyonTQAhKDSxWJdzyuQOQJTZ,wZ,lxzRYQBwCwooigZHQfM
80,sm,507901536,CLN,GZPipqyQ,vSeDkJKUpjuzIOIo,X,cwKFLQFtDalymqDcb
81,MCHjG,407968761,oI,tVTWLsNmKqbGreQhitUyFLxVUztLqYBmyGiR,gfcarGMJpierJfpzcqhRVOHqDbntwORHULEFvxGovjjeGFsMx,fZG,IjNApdxCAURKILO
82,UTtNa,986895331,fAiTQ,aPbhcoyLNvShtezCrjVIhPMsou,qBxwxiRHgDSuIbXJeocuRvGNCxIlDGNHThZzjFJcdkkU,eB,CtsXlEfloM
83,hC,569119001,IX,MkylaPxNbgJM,KPQtwFLxogPiqkCzwvuMOtGrwLSfmVvzLTJCOyhqLvFbFnASKQQSxzcinckQlYcvdSNYq,KE,dmTncnnzZczdIksDIfk
84,boPj,568037653,lDV,oHYrtNKjyiOrvzwbiTgWAOCaiuRnhQLtQoRhzwa,uHLywDRrwXjRqfMoeiNTIhZdRkrMYgVftacNljdwOODfQDRQbXlCCcFuchSGMaazHMzGbAtqJUp,Df,D
85,CK,574449792,Jdv,WbXbYeqeLkceSpkZklErGnUDgBiyN,gzJnjUsOPzRmdGfTJRprxgRHgsCRwlAReiHNewXeAcQqsGJnSiXiXGDEWEZvPbnikLTGeHJNMScHWui,,fV
86,fy,760284488,kYIRFrR,yJENkXMExkNytPecHfNmblKjIub,vJBw,rM,aHliKubUXtVNrsbwPbn
87,HO,324064042,qiUqCVqp,kqi,MvDaHKCFBFmvDsXqRytjRgVYRLaRaSPjRpQLxbKMGBOFfSBGRIhbWQ,ZUw,OD
88,x,774637444,,rdsCuR,PNdpoEqEjOElLRQnjZXAYIbTWbmNmU,uS,pjVOpSRLeVJiEOMO
89,LfQExRe,192600142,d,YpQWfU,YSyMRFvtRoyviUcVFQigTeHIrQbKwOTWvkAkOPNvimcpSbj,Ued,tRLvgQ
90,wzdr,514672738,obb,LLzEJjoJSkVzNdHizawDdWvmXfjXXwQ,hOmCTpmbLQWBGxkRLOGTfNIEpcDfoFQqjmiMDGShLRGXgfcupCcUeBXjzzNgpkwlNWsOQWFtKmO,,htKX
91,ubLjS,732012543,oZa,ZjeiEJtsnrQkKsHcyk,uFqmuGvLVKH,GA,ycnUeQknv
92,U,716915065,,uggqpojIZ,XGtLnlucHHsijeXcOYIViCGAQQkpxKMbpD,t,MTLRt
93,TvaysHO,805382431,zkr,QPdrSJknhvrsToMajNoIMPkqpUKvUzFRAU,tdUZMItgbdkSgPLdXHYbNAHYClPIAvFjIOquJexNyMEwtFkEgea,Ak,onOKWTkGvbRUnDGTwJ
94,opOou,668474534,ayqDKCjo,FsZKURlVh,YzRJWaUbhhtDLIdq,u,OgQhjhJpFUWBSKj
95,E,537055510,mc,R,BKNuJmmgfXXzLRETDfPiTZthhXLGwEOEUDkUjYJdcnZDy,Ee,BWsEwyf
96,shbyc,389280653,ngcqKn,BCkMvEVytBIHEfNjckWe,MstJydgvtPSCBYzVVwKBgeDnFIQPersadtpUFMVlTQJHlObdBZUFbfypUUObyvKcXyjG,,pDmzQfmquBeVBuPVUk
97,cVduKL,870281694,DLHQAv,hYoXCncSHiuIiQcnvGMkinVloFUerpmjPWJI,EtuN,I,lRSEpCCbVWgAu
98,dS,346628018,eNTwNf,OBuc,YznHLcUcoypuvjRuAvIYSLdooyfhmDlkMmvXzdENZKiWx,,HwIQdhIRJghdx
99,ZhHfp,664880069,NYrZ,mnKjxkVC,lfncpDVLgmIaXBAeuiXoRwpaPGjqOHz,vIS,JvzOPzEPpsm
100,uTY,838971408,,UfOvDkidkUIfTmezVoWydl,wfYHhawlHFBYyGrCAIP,wxU,UKjBfXbgMvGvIhT
101,QRxPwJ,129168644,gjZw,IDiMHGXBxtIqeyg,cwqlbUwVHOaGuECcyiAbsZtv,QLB,k
102,WfPNKE,447876834,,BBtWQxXGcuXUSyUEOTbsUcBrDLfGlSUZOUNTN,FFuHnmuqQdSTemshhVmeVMTkQUvPPRHSluyeeb,,uZUFUn
103,DZB,312510475,ppfBndom,tQQZGOW,dgcBYigtFtwgpMSrqSoUIOugu,,JSMyUSytRmgIE
104,pDkbV,392381480,YQYc,UVZqJGzYZACHkKl,VZZBIvJO,Zti,CseZ
105,AE,685157053,ZTMHYG,NsXkgDZ,lRpdIEPETiTOqbHHBzyPSMKHKjQptEDyelkksoMoXOtqGPDP,,hULOVxAyBqjjfeWzZp
106,YPdchID,509244507,GSm,NUezPxhtSblYEop,kRcpWICPVAbCbdcAbMkZyTnpRWHgtsJchQpTZWkByKJIASmgNpywoUKWMenDndIcQcmVsgbM,esA,MNSyPbOXvu
107,oqUyJ,263149864,Xrzb,mdeMDgeA,hurw,kf,ZmGFE
108,v,306061732,WCYaig,ZFIGhwaodB,tnSTglUEkbpLQyIkktlamHmQJPWDWdWlHqkEzuYTJwqetsmaYUNMHLZoAfxCMUfVj,bgL,lyoE
109,iwOx,151028162,ZtawKi,mTOasFWAvAXsJEShZcKyCLXVkIg,kSTEerHBZxJwRyWsUAvaCGiPjSmwCJORxtpTRqOIaEjslthevlpZvmrWajzutLTcIPPSzu,F,PWQwri
110,Rb,180128484,dEBMmDaI,whvKZRu,GwOubVehpmpSMrAQohEqdfSYQoKsqKiaASwXjitnXMHLTynBuXmvqicAHelaUVkdgGlnopUe,,qCytehWIhOlyOxcLjJ
111,,779780760,GSChIgT,fCJkWYAQeKTFDpzfGWPCNhPPkNyXjJqFL,EyJyWxMsJrRhYcRkfWdHsuRZ,cre,uMsx
112,,793271762,jnGMudf,vZDXtCsZxgkbkryBjqceTmqhMeWO,XlcWbWqBZMJEpvuEdyKtVmgsvGVGSRPlxkqhNKBRnauuzkqKRiDQrRbYM,HgV,miI
113,kHRh,648713313,Ht,WpvJYgv,mTUtDeJdDDMSHDcXQFeYmUydjMsgJtRoKYmXpTwgXSicBDKjLHHqYAT,DgN,gFWRyxDzfSkHWvZuqZBu
114,CjjDGN,751735449,U,puSCCIYtRTSWZpTLh,wRDOxGelcBKuNKwlAvPWtsxOqSHHiLindVwYTStJbfTaDFDNXKewGBlZyhfKacLceKDRDMWKeB,jYS,SzkpR
115,fftl,909299178,CP,BmNsncCwrHDOeNNaWpVnfyfXBqpYSQbPgyUOS,urnRDVMTQQLLnVRVWftpNMdFSmVmNXpvUKPZeMuLVTnqfLFTuAveUTFisKIFHsPorOFXcttDfxAovh,,WrUCiB
116,DxaH,168108714,lxIzY,CgqvlIM,DPCiHnwxQrdtTIijBjaJkSjeFCiZyqflsrTfNYyOWRebjBpvDyfwFQrgiUyrof,,BCKSFAujKAXftBsQkST
117,a,891237092,Kht,KoFAxshbUBFDhoOJ,IObltBrbqCRJZMcSnaBqobY,WbS,rpUcblQdFes
118,SSLf,545311862,,WKWpPFuxdRjhQMocptLG,IaICbCUsXBjmVfkwEcgDThLSQInHmqZLUXeHD,,tsRiTZzPViMGbqy
119,AYnV,854222780,kypq,yvKXGOMsHtAfuJRIBm,ILecJZuSzuO,MD,zxebvZvmQSAxNycDS
120,mNMHD,756134478,nsm,gnxsDgZKIwJdiB,LDKnmbKJZJQiGdogdCILbxOJokfGnahJzFaeNAaVMGZPEzpkHPivctDTNswvjbYil,pZf,blPiaA
121,F,261835641,,NMyxMufZAqQvxWzBFjxdmJPWnnTgfgFBl,UidndqRuyYBqezqgbxvzludzbkUTpSkmdlqvimmBFGafFgPDUPzPKNZDnozrTKAeLtcKlSxGp,pH,uLJBwoXehLhLkvJMxS
122,,353179027,VnLBhYWS,vbIHJAl,OOvGjzIhafaZKEzBRlGrKMbPxCsrytVcXcKyIRfXQFPwIIjGVKMwsbMhLXoFsBZXxASYNxpjBJUqpi,C,qXrUvBquOnv
123,NvZ,924532043,CUUnj,,pIaoQuJlvRWdeZTWmjZUVGXWbaIaFXHpPJzunAELcqvFbqqIxtXUXzChEovQCwskRMnSNvicrxwIxy,,kmY
124,AyUcMT,375949458,eEGisM,ReUhWbhrugodceVpgHIfGadlppcMb,ptHMtXP,,kegXMJuaAhXiCfEJ
125,d,499551820,IsA,AYegnVkJlLUCALDNfTMEXlQWRoHZPUbBs,VLQ,,hjRox
126,mABmhuz,504060327,e,vSNdufNTvnRMPIvquNlDNVCqUXnwCUcOD,RkqhmfJsxJgVESKBqRPsgGubByjYkcdJZZscGuqtYNtdJNGmVUziaBnZcA,,YjnzMNcwSzdLQvY
127,ob,876442838,M,UDZAomuWWN,RpBwFfoAFlzlPJmdVrdCuGGPNMb,,aGmgAOBDaHZAR
128,y,876587653,vlg,ViEOfktSHgTWtjwsmkoAaufIwsNDZliMfnRhWSjB,ydtjofgEspXrVzmWHoTtAtQBcUYYXjodWuRtvAPhWDHOYnvBQBQnZnNGDFK,RC,lCbgqrbDajtvx
129,,254723505,OM,XmohPmDChIGdxfp,enIBLqQYOAmWiZdRepjBmKtuRpGndWhtJLzplhLaPI,,UGHoePWkN
130,,668790362,,C,kzRZEbadDsxUlzMdkOunJuHgzKZZHzZHtandFaOmcAOEYw,e,nnhLkYYHgTpZFpbvJYB
131,YxUUWjR,815908077,XgxXjHe,WJjNjhMNOEF,OlCcQTdLuXzECfHtqrzAffQ,Uv,
132,,910471038,tcYDSZ,WnKtqPTxraPaEaFYM,biOXRmTJPtMOjADyoDhktgOQISPTfKAEXEGvGuALfRymVEoQLKnEWbBy,a,VxBupHlokKbmjngIJhf
133,,805577501,SFBKLHa,eVHHEKAGDMWsYZAEbDSiasmBjpcr,mAqgIIhowerGT,,FEYLjBwr
134,yoxX,108502982,bG,AXuNVfKOCvtkExzxcAAKxvWftBj,ksjyMfjmFmKALYrebWpCAabRUZoouBTwOVnVWTKSPJgXhMLgfVJKBXrJfLlGLcSnWxju,d,VSWKqpTsWFEbpatLkGI
135,cDX,567660088,valkijJj,ruUmPJBp,fFJCOVrUiDInDcvZVHCUyLIEetFo,,PORlqbrfs
136,QhLavmn,601441863,lZ,MQoFIyJj,,A,oAFgchxvKZis
137,TGgG,328721423,ykGkvw,Xoy,dZHcSaaPzxaiAukcBV,cEn,zRqGYSgukOLefJLwjW
138,VtMe,178405116,S,OOBblJTddNhSZnshpCdTuzoXljaY,IHkPxyOobfnVaWNBHUstNISHKeSDwIgpcJLwOCFUrRMqHQPVoXHVsHyPZfjTqPHEStRMdjvNKPIz,,wxmqMJOXIIvRiRLRdqV
139,YBMhE,433294395,me,seCxqElEPlEeYjdhswDZrTXasZHI,GJlXyAwNnhYWUCEiTnvXKts,OiL,BBvOY
140,wqCGyWV,885565481,,TxjncOhdJkCQltaP,MphbYPzTzmNxOOsIyUNvzcgSyWaUdnKxqyydyBEXzdZVHnNBpYZAwQAMiZsVvB,TM,xGDljxwoGoeXCoXjf
141,,488888987,fdvdMGEn,rTVpNddpZMXLlqXtetSGXcDJF,ojLpklSWHzUxkUyxQfNbdmFyZccdJBJP,yxN,DYKbiqvsRV
142,LKalgd,583956401,gMHF,xuNfuAZCAtqOTTA,qbAzgzjgrqHkiKDkuPk,,JXuLBcpwovNva
143,fWG,543660087,IdeWLr,IpJHnGRqraCXBEPZUhcEZzSV,NZCpIZaEhaYKzuWAJmOgpeLrWDGtyvxbLWDVMx,,P
144,R,646013057,ZF,sVmXqSUYpmnANSt,iTrqjFKJJUTdHxzJKmaOqScYRhjHfO,LLY,ppYWrlSvLhad
145,T,308108964,BypvNzl,WvLXuvoVqBcXxF,TteXOcBtaCAmNCkmeFcnzJiXghkodJ,Wt,umOOYcETaEzV
146,,161884379,O,PnoNgUyyOMiTFwZgpY,wBpYubAsEBjmkGfoMnMwSFDwWwSYeEvndlHePRKyBgtcRSjpZimB,twa,xHrbX
147,Fw,555102450,YasuV,DxyLrBCBOcJMLCqfQ,stoKEQxJrkmbEZANSaqObuBckcdMHDVAbcDwdDnFoVKescXPnRiXdS,H,GJVqfrMhAhkuMbT
148,HY,113270896,NCDLSMQ,VbUoIbiTwmRwpxFXxVFmNTZEJQDzhbhcDYYCf,RYHhKCawJbIurEHlMrekxYbtcArxrGwpVmDtJfelPCHOAdfsWvxGgErRMgmuaQMcbPi,yBP,s
149,jdgba,941408710,Bo,YbA,AUqjx,ns,EtQDrmENtLeMPjeVnoNL
150,HTl,163252569,carxHR,TCZhZzAeXRHlVWUosXaALzHucRFivPUuSkLggZRO,ZbBQfftWkBtNgQXtrqFWAvJZUHXqGcGxfIIxnZCvsWZnGMRBrDKVZndmLtXRJxnlIT,zP,rTIAMCXnBZwFuhA
151,,560195767,suKEb,VoTnwhAKAmGjHHpADLqMROY,VZXOXGUlKqRwQgfGgMVfeSDSpdMdeZnhkaWhtvqJFFyDtIQCIftKWjeNjdrpzLBODeAAlOQWbXr,,HnatkINrCqXeBMUKYxov
152,dmRKvs,518668758,dcFO,ukDIHRCtxWKgrJX,uMbHZQfQKgiViWHVDOKjHkNATGZlWjidrHUhUIXuTNBVIqRLUdGelhGxjetz,fvD,gEsqyg
153,ZhbjaK,111826119,XFw,KMytYtpgytimjuYhSQIzaJXbMqa,SUqTbHgXTTJJgYdjVlyIICCuBfsPZtFlSJXxPKKhidrHKteddvQomQBoeXCmaH,Kjy,
154,,879188362,wtrG,bCkyTbzwcBHIwLaVC,OaWJOyHrraUUWTBFNcbJWoRhWwanfkiRDzu,Zu,ARmHwHCtcaB
155,phbNZYf,558122932,EeAQEyt,tNeSsqfUfjG,CTWCfySngExGzxREfAoAz,YJ,ZagGHqlpRBwbQ
156,tH,311337808,Iy,tHHOMxmLPTqWMrPUEZwSrddASWEfaj,HoomSZYDAacQwxfufCwYMHBagDjlesWBTw,Z,FsG
